txid,issuer_country,txvariantcode,bin,amount,currency,shopper_country,creation_date,shopper_email,card_number_hash,fraud
36,SE,MCCREDIT,848392,15485,SEK,SE,2014-02-21 07:29:44,thomasena.dial@bellsouth.net,card111186,false
37,PL,MCCREDIT,700309,222,PLN,PL,2014-02-12 05:40:54,kamkingsley@charter.net,card227894,false
38,SE,MCCREDIT,866660,40091,SEK,SE,2014-03-02 21:04:33,tawanda.hardaway@verizon.net,card382115,false
39,PL,VISACLASSIC,689958,2534,PLN,PL,2014-03-12 21:13:19,miranda.boykin@gmail.com,card891297,false
40,ES,MCDEBIT,175968,1197,EUR,ES,2014-03-01 08:20:21,rowena-arnold@airforce.net,card817072,true
41,SE,VISACLASSIC,587310,9486,SEK,SE,2014-02-19 04:14:52,vinacraddock@bellsouth.net,card107695,false
42,ES,MCCREDIT,172695,4712,EUR,ES,2014-03-10 17:51:06,sharla.epps@gmx.de,card185485,false
43,GB,VISACLASSIC,692920,71,GBP,GB,2014-02-16 01:00:26,jeramyalger@comcast.net,card306975,false
44,ES,MCDEBIT,757660,635,EUR,NO,2014-02-17 21:55:47,loraine-parrott@aol.com,card801330,true
45,SE,VISABUSINESS,486559,26373,SEK,SE,2014-02-23 16:59:11,alva_toro@airforce.net,card243680,false
46,GB,VISADEBIT,190652,2434,GBP,GB,2014-02-23 05:08:20,rhea-mayers@rediffmail.com,card252673,false
47,US,MCCREDIT,723703,12942,USD,US,2014-02-26 14:24:01,lizeth-reichert@comcast.net,card978104,true
48,PT,MCDEBIT,777673,2138,EUR,PT,2014-02-25 20:02:33,gay_cordell@barcelona.com,card455594,false
49,PL,VISACLASSIC,689958,1802,PLN,PL,2014-02-21 04:47:39,miranda.boykin@gmail.com,card891297,false
50,IT,VISABUSINESS,141909,4271,EUR,IT,2014-03-08 22:20:23,gloria_wilkins@barcelona.com,card314092,false
51,PT,VISA,866827,378,EUR,PT,2014-03-10 05:50:28,gay_cordell@barcelona.com,card682382,false
52,ES,VISABUSINESS,626760,117,EUR,ES,2014-03-03 23:08:10,wyatt.cohen@comcast.net,card306738,false
53,AE,VISACLASSIC,789249,906,AED,NO,2014-02-22 18:19:50,loraine-parrott@aol.com,card529253,true
54,GB,VISADEBIT,190652,2000,GBP,GB,2014-02-13 13:18:05,rhea-mayers@rediffmail.com,card252673,false
55,GB,VISADEBIT,190652,606,GBP,GB,2014-02-19 21:38:17,rhea-mayers@rediffmail.com,card252673,false
56,FR,MCCREDIT,347045,1447,EUR,NO,2014-02-28 09:48:54,loraine-parrott@aol.com,card765633,true
57,SE,VISABUSINESS,486559,39598,SEK,SE,2014-03-06 05:23:37,alva_toro@airforce.net,card243680,false
58,ES,VISADEBIT,688618,1585,EUR,ES,2014-02-14 15:02:39,carolin_whittle@barcelona.com,card573526,false
59,US,MCCREDIT,723703,1940,USD,US,2014-02-26 14:22:00,lizeth-reichert@comcast.net,card978104,true
60,ES,VISADEBIT,803331,1019,EUR,ES,2014-03-01 15:07:49,cecilia_durham@airforce.net,card104615,false
61,SE,MCCREDIT,866660,13236,SEK,SE,2014-03-10 02:05:49,tawanda.hardaway@verizon.net,card382115,false
62,US,MCCREDIT,723703,999,USD,US,2014-02-26 14:24:25,lizeth-reichert@comcast.net,card978104,true
63,PT,VISACLASSIC,669087,793,EUR,PT,2014-03-11 16:06:03,luettatracy@yandex.com,card846175,false
64,AE,MCDEBIT,458187,4441,AED,AE,2014-02-18 21:41:40,carola.giron@outlook.com,card840790,false
65,ES,VISADEBIT,803331,2591,EUR,ES,2014-02-12 22:39:21,cecilia-durham@earthlink.net,card104615,false
66,SE,VISABUSINESS,486559,15406,SEK,SE,2014-03-03 05:09:30,alva_toro@airforce.net,card243680,false
67,PT,VISACLASSIC,753326,3071,EUR,PT,2014-03-06 18:07:02,rodrigo-garrett@gmx.de,card237835,false
68,PL,VISABUSINESS,926507,3791,PLN,PL,2014-02-18 05:15:21,micah_covert@live.com,card841698,false
69,IT,VISADEBIT,573061,29290,EUR,NI,2014-03-06 11:21:14,joshua_horn@gmx.de,card116991,true
70,ES,VISADEBIT,803331,3084,EUR,ES,2014-02-15 11:02:31,cecilia_durham@airforce.net,card104615,false
71,SE,VISACLASSIC,587310,25692,SEK,SE,2014-02-20 09:04:36,vina_craddock@sbcglobal.net,card107695,false
72,GB,VISA,462434,255,GBP,US,2014-02-25 15:34:25,raymonvilla@live.com,card41732,false
73,DE,MCCREDIT,738452,1829,EUR,DE,2014-02-26 11:23:31,graham.brunson@rediffmail.com,card550810,false
74,DE,MCCREDIT,738452,504,EUR,DE,2014-03-06 19:01:43,graham.brunson@rediffmail.com,card550810,false
75,AE,VISACLASSIC,789249,1167,AED,NO,2014-02-15 23:42:49,loraine-parrott@aol.com,card589253,true
76,GB,VISADEBIT,365299,2981,GBP,US,2014-02-17 17:19:57,shonda.connolly@comcast.net,card484612,false
77,PT,VISACLASSIC,753326,278,EUR,PT,2014-03-08 04:22:07,rodrigo.garrett@sky.com,card237835,false
78,PL,VISABUSINESS,926507,4715,PLN,PL,2014-02-20 17:26:23,micah.covert@live.nl,card841698,false
79,PT,VISA,796630,4774,EUR,PT,2014-03-01 12:30:09,kathlynmabry@airforce.net,card769332,false
80,PT,VISACLASSIC,879486,1952,EUR,UA,2014-02-12 08:14:52,mary-clouse@charter.net,card798864,true
81,DE,VISABUSINESS,838325,2844,EUR,DE,2014-02-19 07:59:11,sacha_baylor@yandex.com,card864506,false
82,PT,VISABUSINESS,970785,958,EUR,PT,2014-02-16 19:46:14,rodrigo.garrett@sky.com,card568708,false
83,MX,VISACLASSIC,493524,11756,MXN,MX,2014-03-09 15:25:29,michale_gerber@rediffmail.com,card14939,false
84,NO,VISA,947059,4951,NOK,NO,2014-02-14 13:15:25,arceliabook@shaw.ca,card977283,false
85,SE,MCDEBIT,151689,40325,SEK,SE,2014-02-11 09:31:51,donelladevine@qq.com,card185102,false
86,NO,VISA,947059,376,NOK,FR,2014-02-22 03:36:33,arceliabook@shaw.ca,card977283,false
87,AE,MCDEBIT,458187,4715,AED,AE,2014-03-09 01:40:27,carola.giron@bellsouth.net,card840790,false
88,SE,VISACLASSIC,215231,41936,SEK,SE,2014-02-26 21:46:24,vina_craddock@sbcglobal.net,card626981,false
89,PL,VISADEBIT,351171,2839,PLN,PL,2014-03-10 00:55:52,kamkingsley@charter.net,card338435,false
90,ES,MCCREDIT,172695,1779,EUR,ES,2014-02-14 06:43:08,sharla.epps@gmx.de,card185485,false
91,PT,VISABUSINESS,462923,2385,EUR,PT,2014-02-21 23:43:24,jodyness@bellsouth.net,card679729,false
92,ES,MCDEBIT,263817,2858,EUR,ES,2014-03-08 17:56:27,tonda_fusco@shaw.ca,card572488,false
93,NO,VISACLASSIC,291605,93,NOK,NO,2014-02-20 06:15:01,arlen_stinson@barcelona.com,card95523,false
94,US,VISA,230935,3023,USD,RO,2014-02-26 23:36:16,loreta.booth@barcelona.com,card573290,true
95,ES,VISADEBIT,688618,3182,EUR,ES,2014-02-17 12:22:26,carolin_whittle@barcelona.com,card573526,false
96,GB,VISADEBIT,202695,4868,GBP,UA,2014-03-09 14:40:59,michallevy@comcast.net,card813317,true
97,ES,MCDEBIT,175968,1197,EUR,ES,2014-03-01 00:19:22,macy.dingle@qq.com,card817072,true
98,ES,MCDEBIT,263817,3827,EUR,ES,2014-02-14 00:56:03,tonda_fusco@shaw.ca,card572488,false
99,IT,VISADEBIT,573061,12605,EUR,NI,2014-02-20 06:24:19,joshua_horn@gmx.de,card116991,true
